Station,Elevation
1746.5,293.41
1747.0,293.41
1749.5,293.44
1750.0,293.44
1752.0,293.47
1752.5,293.47
1754.5,293.5
1776.5,293.5
1778.0,293.53
1778.5,293.53
1780.0,293.55
1780.5,293.55
1783.5,293.58
1784.0,293.58
1785.5,293.6
1794.5,293.6
1796.5,293.63
1802.5,293.88
1803.5,293.91
1804.5,293.94
1806.0,294.0
1807.0,294.03
1809.0,294.08
1811.0,294.19
1813.0,294.35
1813.5,294.38
1815.0,294.5
1816.0,294.58
1817.5,294.69
1819.5,294.85
1820.0,294.88
1821.5,295.0
1822.5,295.08
1824.0,295.19
1826.0,295.35
1826.5,295.38
1827.5,295.38
1829.0,295.35
1830.0,295.33
1831.5,295.3
1832.5,295.28
1834.0,295.25
1835.5,295.22
1837.0,295.19
1839.5,295.13
1841.0,295.1
1842.0,295.08
1843.5,295.05
1844.5,295.03
1846.0,295.0
1847.5,294.97
1849.0,294.94
1850.5,294.91
1851.5,294.88
1853.0,294.85
1854.0,294.83
1855.5,294.8
1856.5,294.78
1858.0,294.75
1859.5,294.72
1861.0,294.69
1862.5,294.66
1865.0,294.6
1866.0,294.58
1867.5,294.55
1868.5,294.53
1870.0,294.5
1870.5,294.5
1873.0,294.47
1874.0,294.47
1876.5,294.44
1877.0,294.44
1880.0,294.41
1880.5,294.41
1883.5,294.38
1884.0,294.38
1887.0,294.35
1887.5,294.35
1889.0,294.33
1890.0,294.33
1892.5,294.3
1893.0,294.3
1893.5,294.28
1894.0,294.25
1896.0,294.16
1898.5,294.05
1899.5,294.0
1901.5,293.91
1902.0,293.88
1905.0,293.75
1905.5,293.72
1907.5,293.63
1911.0,293.47
1913.0,293.38
1913.5,293.35
1915.5,293.38
1917.0,293.41
1923.0,293.47
1924.0,293.44
1925.0,293.41
1927.5,293.38
1934.5,293.38
1936.5,293.41
1937.5,293.41
1947.5,293.44
1959.5,293.44
1969.5,293.41
1971.0,293.41
1974.0,293.38
1976.5,293.35
1977.0,293.35
1978.5,293.38
1980.0,293.41
1981.0,293.44
1982.0,293.47
1984.5,293.58
1985.5,293.63
1987.5,293.72
1990.0,293.83
1990.5,293.85
1991.0,293.88
1991.5,293.91
1992.0,293.94
1992.5,293.97
1993.5,294.05
1994.5,294.13
1997.5,294.41
2000.0,294.66
2002.5,294.91
2004.0,295.03
2009.5,295.35
